timestamp_ms,open,high,low,close,volume
1774231200000,67871.0,67938.5,67862.5,67885.5,185.6975
1774231500000,67885.5,68036.5,67885.5,68036.5,135.4013
1774231800000,68036.5,68049.0,67805.5,67814.5,224.8326
1774232100000,67814.5,67908.0,67775.2,67898.0,148.6624
1774232400000,67898.0,68018.6,67894.8,67996.5,170.3911
1774232700000,67996.5,68245.0,67986.0,68235.0,226.6876
1774233000000,68235.0,68250.1,68177.0,68235.0,183.3409
1774233300000,68235.0,68263.5,68168.1,68177.0,180.8888
1774233600000,68177.0,68340.0,68172.9,68202.0,164.2562
1774233900000,68202.0,68250.0,68180.5,68189.0,191.3432
1774234200000,68189.0,68220.5,68148.8,68166.5,278.7004
1774234500000,68166.5,68292.3,68156.5,68282.5,353.3399
1774234800000,68282.5,68551.5,68282.5,68493.5,321.4626
1774235100000,68493.5,68493.5,68371.4,68374.0,303.1381
1774235400000,68374.0,68407.5,68200.0,68200.0,203.6246
1774235700000,68200.0,68239.7,68151.0,68151.0,324.0976
1774236000000,68151.0,68214.0,68142.0,68175.5,249.9665
1774236300000,68175.5,68193.5,68144.0,68170.0,259.2916
1774236600000,68170.0,68193.5,68128.1,68146.8,316.9424
1774236900000,68146.8,68150.5,68125.7,68130.5,282.525
1774237200000,68130.5,68173.5,68115.5,68173.5,374.3731
1774237500000,68173.5,68181.0,68115.3,68159.7,405.4352
1774237800000,68159.7,68184.0,68100.5,68101.5,403.6689
1774238100000,68101.5,68101.5,68046.8,68046.9,479.834
1774238400000,68046.9,68085.0,68046.4,68077.5,431.9435
1774238700000,68077.5,68172.5,68077.5,68131.5,476.9017
1774239000000,68131.5,68186.0,68117.0,68133.6,352.3714
1774239300000,68133.6,68179.5,68082.5,68146.8,378.2266
1774239600000,68146.8,68186.9,68119.1,68131.5,537.8937
1774239900000,68131.5,68194.0,68110.5,68193.9,368.0629
1774240200000,68193.9,68208.6,68193.9,68208.6,514.897
1774240500000,68208.6,68293.9,68208.5,68293.9,434.1876
1774240800000,68293.9,68332.8,68222.6,68226.0,558.2145
1774241100000,68226.0,68332.8,68226.0,68321.0,437.4195
1774241400000,68321.0,68400.0,68293.5,68400.0,377.3093
1774241700000,68400.0,68508.0,68400.0,68507.7,333.0879
1774242000000,68507.7,68745.5,68507.7,68667.5,500.1888
1774242300000,68667.5,68725.0,68625.0,68674.8,373.7665
1774242600000,68674.8,68744.0,68641.6,68729.5,406.1301
1774242900000,68729.5,68848.0,68691.7,68789.0,454.8245
1774243200000,68789.0,68789.0,68664.3,68665.5,377.9844
1774243500000,68665.5,68708.0,68635.4,68656.5,336.1471
1774243800000,68656.5,68656.5,68550.1,68643.0,554.9733
1774244100000,68643.0,68808.2,68643.0,68661.0,481.9569
1774244400000,68661.0,68661.0,68582.5,68582.5,424.0278
1774244700000,68582.5,68652.5,68573.0,68606.5,465.0581
1774245000000,68606.5,68741.0,68540.0,68708.0,391.5131
1774245300000,68708.0,68869.6,68708.0,68861.0,452.4364
1774245600000,68861.0,68861.0,68688.9,68704.5,452.7753
1774245900000,68704.5,68708.0,68626.9,68658.0,373.4072
1774246200000,68658.0,68690.5,68528.1,68571.5,416.8932
1774246500000,68571.5,68646.0,68557.0,68595.0,382.6084
1774246800000,68595.0,68611.0,68479.5,68537.5,382.995
1774247100000,68537.5,68587.0,68502.0,68519.7,505.7547
1774247400000,68519.7,68537.0,68399.6,68406.5,514.6349
1774247700000,68406.5,68406.5,68054.9,68071.5,356.5326
1774248000000,68071.5,68170.8,68020.7,68020.7,323.2877
1774248300000,68020.7,68055.7,67969.0,67987.5,318.6745
1774248600000,67987.5,68055.7,67781.0,67793.6,318.2915
1774248900000,67793.6,67860.5,67756.5,67846.0,243.2809
1774249200000,67846.0,67846.0,67638.3,67638.3,102.0142
1774249500000,67638.3,67810.5,67467.6,67745.2,169.1013
1774249800000,67745.2,67952.1,67744.7,67925.5,155.7792
1774250100000,67925.5,67956.0,67861.0,67951.5,170.5921
1774250400000,67951.5,67965.7,67738.0,67738.0,248.7567
1774250700000,67738.0,67795.0,67702.9,67768.7,226.6977
1774251000000,67768.7,67961.5,67743.5,67952.5,207.4137
1774251300000,67952.5,68244.9,67952.5,68185.9,474.0497
1774251600000,68185.9,68308.1,68149.5,68293.8,217.298
1774251900000,68293.8,68398.1,68293.8,68324.3,180.209
1774252200000,68324.3,68385.5,68292.4,68382.0,244.0658
1774252500000,68382.0,68425.9,68250.5,68299.5,598.5561
1774252800000,68299.5,68438.0,68299.5,68413.0,709.5569
1774253100000,68413.0,68529.8,68370.4,68522.0,671.2069
1774253400000,68522.0,68650.4,68437.6,68609.3,629.4698
1774253700000,68609.3,68664.6,68435.9,68452.5,468.9335
1774254000000,68452.5,68546.7,68413.5,68463.0,555.6251
1774254300000,68463.0,68478.5,68434.0,68434.0,649.4867
1774254600000,68434.0,68578.5,68372.6,68564.5,400.1195
1774254900000,68564.5,68581.5,68455.0,68488.6,441.5251
1774255200000,68488.6,68613.3,68476.5,68512.0,544.1221
1774255500000,68512.0,68527.0,68408.0,68422.0,724.4312
1774255800000,68422.0,68487.5,68383.1,68417.5,523.729
1774256100000,68417.5,68437.8,68280.3,68404.5,291.7303
1774256400000,68404.5,68440.5,68275.1,68275.1,212.5305
1774256700000,68275.1,68280.8,68181.1,68271.0,318.6495
1774257000000,68271.0,68271.0,68218.4,68258.7,219.2636
1774257300000,68258.7,68306.5,68219.3,68235.0,281.6274
1774257600000,68235.0,68332.5,68169.0,68171.1,244.9449
1774257900000,68171.1,68224.0,68100.5,68224.0,220.1493
1774258200000,68224.0,68224.0,67981.6,67997.5,243.9607
1774258500000,67997.5,68098.0,67882.0,68078.4,253.1243
1774258800000,68078.4,68176.4,68025.8,68097.5,244.5659
1774259100000,68097.5,68219.1,68097.5,68142.5,192.8217
1774259400000,68142.5,68190.8,68131.5,68143.5,226.5408
1774259700000,68143.5,68302.0,68143.5,68302.0,180.6783
1774260000000,68302.0,68416.5,68269.6,68415.5,156.328
1774260300000,68415.5,68650.4,68415.5,68592.0,223.6499
1774260600000,68592.0,68678.0,68550.0,68571.6,482.0974
1774260900000,68571.6,68586.5,68487.9,68490.0,317.6501
1774261200000,68490.0,68496.5,68376.0,68402.5,409.9082
1774261500000,68402.5,68465.0,68382.0,68430.0,237.7184
1774261800000,68430.0,68442.5,68375.5,68390.0,298.9763
1774262100000,68390.0,68447.0,68288.0,68295.5,191.9246
1774262400000,68295.5,68393.4,68262.1,68383.6,231.2707
1774262700000,68383.6,68412.7,68333.0,68351.9,212.0558
1774263000000,68351.9,68529.5,68351.9,68479.0,365.2398
1774263300000,68479.0,68546.5,68468.0,68515.0,602.9475
1774263600000,68515.0,68642.6,68503.9,68533.6,728.5444
1774263900000,68533.6,71204.0,68533.6,71181.7,624.2439
1774264200000,71181.7,71463.7,70805.3,70925.0,856.3267
1774264500000,70925.0,71210.1,70661.0,70693.0,626.0758
1774264800000,70693.0,70882.4,70268.0,70514.0,602.2489
1774265100000,70514.0,70786.0,70514.0,70666.0,491.9214
1774265400000,70666.0,71171.0,70666.0,70977.1,583.5915
1774265700000,70977.1,70977.1,70358.0,70651.7,592.5867
1774266000000,70651.7,70762.9,70537.1,70634.9,628.984
1774266300000,70634.9,70662.2,70071.0,70402.0,583.8918
1774266600000,70402.0,70541.3,70241.8,70467.5,346.9436
1774266900000,70467.5,70467.5,70031.5,70071.5,389.2274
1774267200000,70071.5,70267.7,69658.5,69895.5,277.5049
1774267500000,69895.5,70069.6,69768.8,70042.5,331.8332
1774267800000,70042.5,70121.1,69958.8,69971.2,376.3839
1774268100000,69971.2,70231.8,69930.5,70231.8,332.1321
1774268400000,70231.8,70473.8,70187.6,70291.5,349.1251
1774268700000,70291.5,70358.9,70181.2,70313.5,297.5643
1774269000000,70313.5,70347.4,70139.3,70289.5,341.28
1774269300000,70289.5,70510.6,70230.0,70320.1,323.4524
1774269600000,70320.1,70745.8,70234.4,70694.6,308.6241
1774269900000,70694.6,70835.5,70625.5,70679.0,301.7158
1774270200000,70679.0,70821.3,70563.2,70619.5,337.2354
1774270500000,70619.5,70714.5,70551.0,70714.5,332.1811
1774270800000,70714.5,70853.0,70612.0,70673.0,248.5615
1774271100000,70673.0,70695.8,70567.6,70620.8,357.0258
1774271400000,70620.8,70779.7,70605.7,70712.2,340.5653
1774271700000,70712.2,70811.0,70709.7,70740.5,436.6348
1774272000000,70740.5,70878.6,70737.5,70832.7,451.1591
1774272300000,70832.7,70853.5,70746.7,70780.4,386.737
1774272600000,70780.4,70820.7,70628.9,70738.4,602.8869
1774272900000,70738.4,71134.1,70702.8,71079.9,340.8743
1774273200000,71079.9,71383.0,70980.9,71189.8,381.6104
1774273500000,71189.8,71291.0,70985.9,71130.6,392.2474
1774273800000,71130.6,71556.5,71095.8,71283.5,676.3916
1774274100000,71283.5,71442.5,71187.2,71442.5,547.0843
1774274400000,71442.5,71699.4,71426.6,71512.5,474.43
1774274700000,71512.5,71725.9,71346.6,71622.0,629.2558
1774275000000,71622.0,71771.5,71452.0,71480.9,439.1609
1774275300000,71480.9,71689.7,71480.9,71514.0,511.3275
1774275600000,71514.0,71568.9,71354.7,71469.0,506.2849
1774275900000,71469.0,71551.5,71255.7,71320.2,513.7263
1774276200000,71320.2,71364.5,71171.8,71204.6,648.1881
1774276500000,71204.6,71492.6,71204.6,71482.5,464.9521
1774276800000,71482.5,71482.5,71324.0,71339.4,343.526
1774277100000,71339.4,71360.0,71134.9,71169.5,587.7529
1774277400000,71169.5,71276.3,71099.6,71186.5,689.2539
1774277700000,71186.5,71474.7,71186.5,71412.5,322.9927
1774278000000,71412.5,71612.8,71401.6,71521.5,372.9975
1774278300000,71521.5,71559.8,71378.7,71415.5,411.1707
1774278600000,71415.5,71415.5,71327.4,71329.0,515.3311
1774278900000,71329.0,71362.9,71080.0,71086.5,483.7552
1774279200000,71086.5,71091.4,70906.9,71001.5,467.884
1774279500000,71001.5,71001.5,70840.0,70865.5,622.9868
1774279800000,70865.5,70900.6,70739.3,70744.1,443.074
1774280100000,70744.1,70907.5,70714.4,70757.2,558.2492
1774280400000,70757.2,70782.9,70550.0,70634.8,435.5435
1774280700000,70634.8,70820.4,70473.8,70779.5,456.4383
1774281000000,70779.5,70821.8,70263.7,70314.3,484.3119
1774281300000,70314.3,70314.3,70088.0,70105.0,461.5772
1774281600000,70105.0,70305.4,70105.0,70227.5,622.754
1774281900000,70227.5,70419.7,70136.0,70382.5,518.4598
1774282200000,70382.5,70510.3,70330.5,70507.0,550.9497
1774282500000,70507.0,70530.1,70287.0,70289.5,430.9508
1774282800000,70289.5,70392.5,70195.0,70387.0,629.2707
1774283100000,70387.0,70387.0,70177.4,70186.5,520.5551
1774283400000,70186.5,70389.4,70096.4,70387.0,346.754
1774283700000,70387.0,70490.8,70348.7,70369.8,550.5591
1774284000000,70369.8,70449.0,70343.0,70435.0,429.7607
1774284300000,70435.0,70723.5,70406.0,70627.5,573.4203
1774284600000,70627.5,70633.0,70499.8,70562.7,467.9236
1774284900000,70562.7,70593.0,70466.1,70530.0,405.044
1774285200000,70530.0,70611.5,70446.6,70594.2,567.2487
1774285500000,70594.2,70673.6,70508.6,70607.1,502.9122
1774285800000,70607.1,70719.5,70593.8,70602.0,661.2226
1774286100000,70602.0,70632.5,70448.8,70504.6,570.0059
1774286400000,70504.6,70511.5,70333.5,70439.5,612.0896
1774286700000,70439.5,70594.8,70414.5,70501.1,451.3421
1774287000000,70501.1,70867.0,70496.5,70861.3,626.9944
1774287300000,70861.3,71050.2,70858.1,70984.0,546.81
1774287600000,70984.0,71012.7,70819.3,70855.5,537.1222
1774287900000,70855.5,70981.6,70840.0,70980.3,537.8286
1774288200000,70980.3,71078.0,70930.6,71078.0,583.9294
1774288500000,71078.0,71092.3,71020.3,71054.5,538.7828
1774288800000,71054.5,71127.6,71013.0,71126.8,627.4234
1774289100000,71126.8,71141.2,70880.1,70961.0,692.915
1774289400000,70961.0,71061.0,70938.5,70938.5,571.2382
1774289700000,70938.5,71019.2,70912.0,70958.0,415.4226
1774290000000,70958.0,70976.5,70847.9,70944.0,455.1779
1774290300000,70944.0,71010.1,70836.1,70856.0,529.8791
1774290600000,70856.0,71068.1,70856.0,71039.0,490.0844
1774290900000,71039.0,71121.8,70928.0,71001.0,581.3542
1774291200000,71001.0,71050.8,70949.6,71020.8,640.7489
1774291500000,71020.8,71161.6,70991.4,71094.0,470.1014
1774291800000,71094.0,71104.5,70947.5,71026.7,480.8851
1774292100000,71026.7,71067.0,70955.0,71050.0,322.7184
1774292400000,71050.0,71091.4,70968.5,71091.4,329.9397
1774292700000,71091.4,71210.2,70828.7,70978.0,232.4163
1774293000000,70978.0,71000.9,70889.5,70904.0,268.4965
1774293300000,70904.0,70939.2,70787.4,70927.5,278.3852
1774293600000,70927.5,71042.5,70877.7,71042.5,346.1931
1774293900000,71042.5,71057.3,70982.5,71003.4,181.9518
1774294200000,71003.4,71029.5,70940.0,70946.5,235.9712
1774294500000,70946.5,70951.5,70888.1,70914.0,172.2173
1774294800000,70914.0,70914.0,70824.5,70875.0,203.1848
1774295100000,70875.0,70954.0,70804.0,70804.0,284.7502
1774295400000,70804.0,70808.4,70695.7,70741.1,260.8088
1774295700000,70741.1,70741.1,70630.9,70642.0,218.5826
1774296000000,70642.0,70693.5,70529.6,70612.0,195.5494
1774296300000,70612.0,70644.5,70574.1,70644.5,170.1361
1774296600000,70644.5,70769.8,70644.5,70769.8,215.0757
1774296900000,70769.8,70796.8,70713.1,70713.1,195.959
1774297200000,70713.1,70779.3,70712.6,70742.0,167.7284
1774297500000,70742.0,70768.5,70719.4,70768.5,193.5775
1774297800000,70768.5,70846.6,70753.5,70834.2,146.3766
1774298100000,70834.2,70949.0,70834.2,70873.1,276.3889
1774298400000,70873.1,70915.7,70852.1,70911.2,185.0282
1774298700000,70911.2,70922.3,70860.5,70860.5,235.9523
1774299000000,70860.5,70899.2,70834.5,70889.5,291.6563
1774299300000,70889.5,70891.0,70860.1,70876.5,294.0104
1774299600000,70876.5,70959.9,70828.0,70828.0,292.891
1774299900000,70828.0,70888.5,70819.9,70851.0,306.4733
1774300200000,70851.0,70855.5,70787.2,70791.0,321.0621
1774300500000,70791.0,70872.1,70791.0,70829.0,359.1843
1774300800000,70829.0,70890.3,70792.2,70867.5,326.7857
1774301100000,70867.5,70884.4,70849.1,70857.5,342.9933
1774301400000,70857.5,70960.2,70837.2,70945.5,323.6696
1774301700000,70945.5,70960.9,70911.5,70958.5,329.7216
1774302000000,70958.5,70967.1,70899.3,70902.0,273.3458
1774302300000,70902.0,70904.0,70856.3,70877.5,280.7062
1774302600000,70877.5,70946.9,70851.0,70851.9,274.6897
1774302900000,70851.9,70902.2,70789.0,70811.5,401.6572
1774303200000,70811.5,70859.2,70529.6,70590.2,472.2701
1774303500000,70590.2,70703.0,70553.5,70674.5,453.8474
1774303800000,70674.5,70725.5,70625.4,70687.2,355.3477
1774304100000,70687.2,70687.2,70422.0,70677.0,1361.8265
1774304400000,70677.0,70695.1,70605.0,70650.4,446.4104
1774304700000,70650.4,70656.9,70598.5,70600.6,287.9489
1774305000000,70600.6,70614.9,70500.7,70564.0,400.8795
1774305300000,70564.0,70669.6,70564.0,70640.5,403.7606
1774305600000,70640.5,70686.4,70580.0,70686.0,533.917
1774305900000,70686.0,70760.0,70649.0,70659.5,414.0065
1774306200000,70659.5,70761.5,70650.0,70728.0,257.4469
1774306500000,70728.0,70769.9,70680.5,70753.0,227.9355
1774306800000,70753.0,70781.3,70665.2,70704.0,282.4653
1774307100000,70704.0,70725.5,70573.5,70573.5,248.438
1774307400000,70573.5,70605.0,70518.6,70523.0,225.4253
1774307700000,70523.0,70541.2,70424.4,70427.0,303.5032
1774308000000,70427.0,70519.5,70384.6,70519.5,243.9071
1774308300000,70519.5,70680.2,70481.3,70679.0,315.9312
1774308600000,70679.0,70679.0,70582.5,70603.0,243.0261
1774308900000,70603.0,70668.0,70591.5,70666.5,303.3357
1774309200000,70666.5,70763.4,70666.5,70736.8,240.0929
1774309500000,70736.8,70795.8,70690.5,70749.5,200.7826
1774309800000,70749.5,70837.5,70729.5,70829.5,214.3585
1774310100000,70829.5,70951.5,70820.0,70867.0,240.2464
1774310400000,70867.0,71229.7,70867.0,70885.0,1260.7208
1774310700000,70885.0,70931.5,70769.3,70774.5,153.7105
1774311000000,70774.5,70846.0,70744.0,70749.6,215.0396
1774311300000,70749.6,70780.0,70627.2,70780.0,286.7367
1774311600000,70780.0,70780.0,70665.0,70737.0,164.7187
1774311900000,70737.0,70796.6,70658.0,70689.5,272.3134
1774312200000,70689.5,70696.1,70525.8,70625.0,267.1247
1774312500000,70625.0,70671.5,70377.4,70532.3,231.7136
1774312800000,70532.3,70655.5,70481.2,70571.5,172.8137
1774313100000,70571.5,70688.0,70564.0,70654.9,330.3511
1774313400000,70654.9,70790.3,70649.0,70728.0,292.539
1774313700000,70728.0,70740.5,70640.5,70649.0,537.644
1774314000000,70649.0,70676.0,70567.4,70575.5,592.3984
1774314300000,70575.5,70632.0,70549.0,70588.0,452.1284
1774314600000,70588.0,70683.5,70489.0,70533.0,416.1311
1774314900000,70533.0,70585.5,70470.5,70578.6,534.7018
1774315200000,70578.6,70773.0,70578.6,70703.0,496.442
1774315500000,70703.0,70841.1,70685.0,70797.8,436.4689
1774315800000,70797.8,70832.8,70678.9,70776.7,196.2787
1774316100000,70776.7,70779.5,70415.5,70415.5,510.3709
1774316400000,70415.5,70448.0,70250.9,70357.5,393.4097
1774316700000,70357.5,70479.1,70357.5,70418.2,375.441
1774317000000,70418.2,70540.7,70413.3,70505.5,247.405
1774317300000,70505.5,70510.0,70465.0,70477.0,217.6191
1774317600000,70477.0,70663.7,70406.1,70583.0,177.0326
1774317900000,70583.0,70583.0,70479.5,70540.5,239.9578
1774318200000,70540.5,70544.0,70403.6,70428.3,326.1554
1774318500000,70428.3,70459.1,70382.0,70454.0,335.4441
1774318800000,70454.0,70600.5,70442.0,70518.4,255.8953
1774319100000,70518.4,70550.4,70411.1,70528.5,307.5507
1774319400000,70528.5,70556.1,70482.0,70529.5,243.3744
1774319700000,70529.5,70606.5,70425.0,70425.0,258.4323
1774320000000,70425.0,70508.0,70342.6,70495.5,287.2238
1774320300000,70495.5,70559.5,70453.0,70517.6,360.9438
1774320600000,70517.6,70517.6,70428.6,70458.5,506.8053
1774320900000,70458.5,70462.8,70410.8,70410.8,69.4424
